Obs,Age,Race,Gender,Income,Buy
1,52,Malay,Male,11500,Not_Buy
2,22,Chinese,Male,6500,Buy
3,30,Indian,Male,8000,Buy
4,26,Indian,Female,8500,Buy
5,27,Malay,Female,6500,Buy
6,32,Malay,Female,6000,Not_Buy
7,33,Malay,Male,9500,Not_Buy
8,50,Indian,Female,4000,Not_Buy
9,31,Chinese,Male,10500,Buy
10,27,Malay,Male,10000,Buy
11,25,Indian,Female,5500,Not_Buy
12,40,Indian,Female,3000,Not_Buy
13,48,Malay,Female,8000,Not_Buy
14,46,Chinese,Female,7000,Buy
15,51,Indian,Female,3000,Not_Buy
16,42,Indian,Male,5000,Buy

